Steps (Out of 10000), Duration (s), Episode Steps, Steps per Sec, Episode Reward, Mean Reward, Mean Action, Loss, Mean_Q, Mean_Eps
  594, 20.577, 594, 29, 155.000, 0.261, 2.451,,
 1088, 162.330, 494,  3, 65.000, 0.132, 2.591, 22.628159, 10.060919, 0.906040
 1939, 1278.813, 851,  1, 240.000, 0.282, 2.501, 1.132383, 7.937387, 0.863830
 2978, 1343.653, 1039,  1, 225.000, 0.217, 2.540, 0.724818, 7.831339, 0.778780
 3918, 1239.030, 940,  1, 230.000, 0.245, 2.572, 0.489423, 7.575587, 0.689725
 4558, 850.597, 640,  1, 145.000, 0.227, 2.422, 0.406598, 7.319379, 0.618625
 5312, 973.477, 754,  1, 120.000, 0.159, 2.279, 0.341726, 7.300046, 0.555895
 6307, 1257.552, 995, 1, 200.000, 0.201,  2.462, 0.195047, 6.776134, 0.477190
 7062, 1013.311, 755, 1, 310.000, 0.411, 2.472, 4.763069, 7.001327, 0.398440
 7907, 1180.486, 845, 1, 215.000, 0.254, 2.491, 1.019351, 7.466493, 0.326440
 8347, 510.306, 440, 1, 55.000, 0.125, 2.675, 0.178968, 7.154232, 0.268615
 8932, 770.603, 585, 1, 85.000, 0.145, 2.609, 0.165108, 6.659811, 0.222490